patch_id,sample_id,resolution_um,radius,center_x,center_y,n_bins,similarity
GSM7780153_r8_p7,GSM7780153,160,8,12.0,16.0,197,0.76723725
GSM7780153_r8_p11,GSM7780153,160,8,16.0,12.0,197,0.74324465
GSM7780153_r8_p0,GSM7780153,160,8,8.0,8.0,197,0.67554516
GSM7780153_r8_p4,GSM7780153,160,8,8.0,24.0,197,0.6748397
GSM7780154_r8_p6,GSM7780154,160,8,12.0,12.0,197,0.6553451
GSM7780153_r8_p12,GSM7780153,160,8,16.0,16.0,197,0.64983505
GSM7780153_r8_p2,GSM7780153,160,8,8.0,16.0,197,0.64323944
GSM7780153_r8_p37,GSM7780153,160,8,36.0,16.0,197,0.6229211
GSM7780153_r8_p6,GSM7780153,160,8,12.0,12.0,197,0.5994231
GSM7780153_r8_p5,GSM7780153,160,8,12.0,8.0,197,0.59410745
GSM7780153_r8_p34,GSM7780153,160,8,32.0,24.0,197,0.5545891
GSM7780154_r8_p1,GSM7780154,160,8,8.0,12.0,197,0.55377054
GSM7780154_r8_p5,GSM7780154,160,8,12.0,8.0,197,0.55249536
GSM7780153_r8_p1,GSM7780153,160,8,8.0,12.0,197,0.5503601
GSM7780153_r8_p21,GSM7780153,160,8,24.0,12.0,197,0.52611816
GSM7780153_r8_p39,GSM7780153,160,8,36.0,24.0,196,0.52060455
GSM7780153_r8_p17,GSM7780153,160,8,20.0,16.0,197,0.51037925
GSM7780153_r8_p10,GSM7780153,160,8,16.0,8.0,195,0.4899695
GSM7780154_r8_p30,GSM7780154,160,8,32.0,8.0,197,0.47869527
GSM7780154_r8_p36,GSM7780154,160,8,36.0,12.0,197,0.46858835
GSM7780153_r8_p3,GSM7780153,160,8,8.0,20.0,197,0.46200314
GSM7780153_r8_p8,GSM7780153,160,8,12.0,20.0,197,0.43178487
GSM7780153_r8_p20,GSM7780153,160,8,24.0,8.0,195,0.4210102
GSM7780154_r8_p2,GSM7780154,160,8,8.0,16.0,197,0.42027056
GSM7780154_r8_p31,GSM7780154,160,8,32.0,12.0,197,0.40285873
GSM7780154_r8_p0,GSM7780154,160,8,8.0,8.0,197,0.40216136
GSM7780153_r8_p9,GSM7780153,160,8,12.0,24.0,197,0.3848728
GSM7780153_r8_p16,GSM7780153,160,8,20.0,12.0,197,0.37912124
GSM7780153_r8_p32,GSM7780153,160,8,32.0,16.0,197,0.37714863
GSM7780153_r8_p28,GSM7780153,160,8,28.0,20.0,197,0.35939035
GSM7780154_r8_p3,GSM7780154,160,8,8.0,20.0,197,0.35830843
GSM7780153_r8_p33,GSM7780153,160,8,32.0,20.0,197,0.35368884
GSM7780153_r8_p25,GSM7780153,160,8,28.0,8.0,196,0.2741086
GSM7780154_r8_p7,GSM7780154,160,8,12.0,16.0,197,0.25342056
GSM7780154_r8_p10,GSM7780154,160,8,16.0,8.0,197,0.22635776
GSM7780153_r8_p36,GSM7780153,160,8,36.0,12.0,197,0.19767995
GSM7780153_r8_p13,GSM7780153,160,8,16.0,20.0,197,0.16378035
GSM7780153_r8_p15,GSM7780153,160,8,20.0,8.0,193,0.15808153
GSM7780154_r8_p35,GSM7780154,160,8,36.0,8.0,197,0.15225396
GSM7780153_r8_p38,GSM7780153,160,8,36.0,20.0,197,0.1505023
GSM7780154_r8_p25,GSM7780154,160,8,28.0,8.0,197,0.13592792
GSM7780153_r8_p22,GSM7780153,160,8,24.0,16.0,197,0.111775994
GSM7780153_r8_p29,GSM7780153,160,8,28.0,24.0,197,0.10518164
GSM7780154_r8_p15,GSM7780154,160,8,20.0,8.0,197,0.103671655
GSM7780153_r8_p18,GSM7780153,160,8,20.0,20.0,197,0.088349715
GSM7780153_r8_p35,GSM7780153,160,8,36.0,8.0,197,0.060263015
GSM7780154_r8_p4,GSM7780154,160,8,8.0,24.0,196,0.025185883
GSM7780153_r8_p23,GSM7780153,160,8,24.0,20.0,197,0.01775378
GSM7780154_r8_p11,GSM7780154,160,8,16.0,12.0,197,0.01400739
GSM7780154_r8_p37,GSM7780154,160,8,36.0,16.0,197,0.00214836
GSM7780154_r8_p26,GSM7780154,160,8,28.0,12.0,197,-0.0020840093
GSM7780153_r8_p24,GSM7780153,160,8,24.0,24.0,197,-0.02250404
GSM7780154_r8_p20,GSM7780154,160,8,24.0,8.0,197,-0.029590487
GSM7780154_r8_p21,GSM7780154,160,8,24.0,12.0,197,-0.05654362
GSM7780153_r8_p26,GSM7780153,160,8,28.0,12.0,197,-0.07655513
GSM7780153_r8_p31,GSM7780153,160,8,32.0,12.0,197,-0.10088278
GSM7780153_r8_p19,GSM7780153,160,8,20.0,24.0,197,-0.11480686
GSM7780153_r8_p30,GSM7780153,160,8,32.0,8.0,197,-0.12765187
GSM7780153_r8_p27,GSM7780153,160,8,28.0,16.0,197,-0.20238501
GSM7780154_r8_p16,GSM7780154,160,8,20.0,12.0,197,-0.20606625
GSM7780153_r8_p14,GSM7780153,160,8,16.0,24.0,197,-0.23049745
GSM7780154_r8_p12,GSM7780154,160,8,16.0,16.0,197,-0.27828217
GSM7780154_r8_p8,GSM7780154,160,8,12.0,20.0,196,-0.29840448
GSM7780154_r8_p32,GSM7780154,160,8,32.0,16.0,197,-0.34387523
GSM7780154_r8_p9,GSM7780154,160,8,12.0,24.0,195,-0.3635431
GSM7780154_r8_p22,GSM7780154,160,8,24.0,16.0,197,-0.45328426
GSM7780154_r8_p17,GSM7780154,160,8,20.0,16.0,197,-0.4862972
GSM7780155_r8_p13,GSM7780155,160,8,16.0,20.0,192,-0.48765105
GSM7780155_r8_p14,GSM7780155,160,8,16.0,24.0,172,-0.4954344
GSM7780155_r8_p12,GSM7780155,160,8,16.0,16.0,196,-0.5105512
GSM7780154_r8_p27,GSM7780154,160,8,28.0,16.0,197,-0.5135289
GSM7780155_r8_p17,GSM7780155,160,8,20.0,16.0,191,-0.544825
GSM7780154_r8_p38,GSM7780154,160,8,36.0,20.0,196,-0.55479145
GSM7780155_r8_p9,GSM7780155,160,8,12.0,24.0,147,-0.56054217
GSM7780155_r8_p24,GSM7780155,160,8,24.0,24.0,182,-0.570557
GSM7780155_r8_p3,GSM7780155,160,8,8.0,20.0,122,-0.58101463
GSM7780155_r8_p29,GSM7780155,160,8,28.0,24.0,180,-0.5891462
GSM7780155_r8_p8,GSM7780155,160,8,12.0,20.0,173,-0.59608626
GSM7780154_r8_p13,GSM7780154,160,8,16.0,20.0,196,-0.5989127
GSM7780155_r8_p10,GSM7780155,160,8,16.0,8.0,184,-0.6008494
GSM7780155_r8_p19,GSM7780155,160,8,20.0,24.0,176,-0.6015458
GSM7780155_r8_p18,GSM7780155,160,8,20.0,20.0,189,-0.60252196
GSM7780155_r8_p7,GSM7780155,160,8,12.0,16.0,177,-0.60371876
GSM7780155_r8_p22,GSM7780155,160,8,24.0,16.0,186,-0.60650074
GSM7780155_r8_p4,GSM7780155,160,8,8.0,24.0,104,-0.6066911
GSM7780155_r8_p23,GSM7780155,160,8,24.0,20.0,191,-0.6233101
GSM7780155_r8_p31,GSM7780155,160,8,32.0,12.0,154,-0.6267781
GSM7780155_r8_p21,GSM7780155,160,8,24.0,12.0,184,-0.6282137
GSM7780155_r8_p15,GSM7780155,160,8,20.0,8.0,184,-0.6300755
GSM7780155_r8_p0,GSM7780155,160,8,8.0,8.0,149,-0.6313358
GSM7780155_r8_p6,GSM7780155,160,8,12.0,12.0,176,-0.6320652
GSM7780154_r8_p33,GSM7780154,160,8,32.0,20.0,196,-0.63325405
GSM7780155_r8_p34,GSM7780155,160,8,32.0,24.0,166,-0.6345024
GSM7780154_r8_p19,GSM7780154,160,8,20.0,24.0,186,-0.6396386
GSM7780155_r8_p38,GSM7780155,160,8,36.0,20.0,138,-0.64504087
GSM7780154_r8_p14,GSM7780154,160,8,16.0,24.0,193,-0.6452706
GSM7780155_r8_p39,GSM7780155,160,8,36.0,24.0,149,-0.64739484
GSM7780155_r8_p2,GSM7780155,160,8,8.0,16.0,130,-0.649709
GSM7780154_r8_p34,GSM7780154,160,8,32.0,24.0,187,-0.651119
GSM7780155_r8_p26,GSM7780155,160,8,28.0,12.0,168,-0.65344447
