patch_id,sample_id,resolution_um,radius,center_x,center_y,n_bins,similarity
GSM7780154_r3_p94,GSM7780154,160,3,6.0,10.0,29,0.9012102
GSM7780153_r3_p47,GSM7780153,160,3,4.0,21.0,29,0.9009663
GSM7780153_r3_p49,GSM7780153,160,3,4.0,23.0,29,0.8822959
GSM7780153_r3_p45,GSM7780153,160,3,4.0,19.0,29,0.88042426
GSM7780154_r3_p90,GSM7780154,160,3,6.0,6.0,29,0.878729
GSM7780153_r3_p75,GSM7780153,160,3,5.0,20.0,29,0.87716955
GSM7780153_r3_p177,GSM7780153,160,3,9.0,6.0,29,0.8730216
GSM7780154_r3_p92,GSM7780154,160,3,6.0,8.0,29,0.8711749
GSM7780154_r3_p96,GSM7780154,160,3,6.0,12.0,29,0.87009025
GSM7780154_r3_p203,GSM7780154,160,3,10.0,3.0,29,0.8687191
GSM7780153_r3_p71,GSM7780153,160,3,5.0,16.0,29,0.8682684
GSM7780153_r3_p19,GSM7780153,160,3,3.0,22.0,29,0.8668733
GSM7780153_r3_p15,GSM7780153,160,3,3.0,18.0,29,0.86668175
GSM7780154_r3_p66,GSM7780154,160,3,5.0,11.0,29,0.86641693
GSM7780153_r3_p495,GSM7780153,160,3,20.0,5.0,29,0.8663683
GSM7780153_r3_p79,GSM7780153,160,3,5.0,24.0,29,0.8651936
GSM7780154_r3_p120,GSM7780154,160,3,7.0,7.0,29,0.8650156
GSM7780153_r3_p66,GSM7780153,160,3,5.0,11.0,29,0.8648448
GSM7780153_r3_p37,GSM7780153,160,3,4.0,11.0,29,0.864505
GSM7780154_r3_p145,GSM7780154,160,3,8.0,3.0,29,0.86302704
GSM7780153_r3_p148,GSM7780153,160,3,8.0,6.0,29,0.8624139
GSM7780153_r3_p43,GSM7780153,160,3,4.0,17.0,29,0.862244
GSM7780153_r3_p17,GSM7780153,160,3,3.0,20.0,29,0.86119545
GSM7780154_r3_p150,GSM7780154,160,3,8.0,8.0,29,0.8606837
GSM7780153_r3_p97,GSM7780153,160,3,6.0,13.0,29,0.86039025
GSM7780154_r3_p183,GSM7780154,160,3,9.0,12.0,29,0.86019766
GSM7780153_r3_p103,GSM7780153,160,3,6.0,19.0,29,0.8601235
GSM7780153_r3_p93,GSM7780153,160,3,6.0,9.0,29,0.8586768
