patch_id,sample_id,resolution_um,radius,center_x,center_y,n_bins,similarity
GSM7780153_r3_p30,GSM7780153,160,3,4.0,4.0,29,0.94503486
GSM7780153_r3_p29,GSM7780153,160,3,4.0,3.0,29,0.9422967
GSM7780153_r3_p31,GSM7780153,160,3,4.0,5.0,29,0.9235903
GSM7780153_r3_p134,GSM7780153,160,3,7.0,21.0,29,0.9229332
GSM7780154_r3_p151,GSM7780154,160,3,8.0,9.0,29,0.9189056
GSM7780153_r3_p104,GSM7780153,160,3,6.0,20.0,29,0.91341287
GSM7780153_r3_p1,GSM7780153,160,3,3.0,4.0,29,0.9119606
GSM7780153_r3_p60,GSM7780153,160,3,5.0,5.0,29,0.90856403
GSM7780153_r3_p141,GSM7780153,160,3,7.0,28.0,29,0.9013443
GSM7780153_r3_p0,GSM7780153,160,3,3.0,3.0,29,0.9010558
GSM7780153_r3_p163,GSM7780153,160,3,8.0,21.0,29,0.8984052
GSM7780154_r3_p181,GSM7780154,160,3,9.0,10.0,29,0.89634454
GSM7780153_r3_p212,GSM7780153,160,3,10.0,12.0,29,0.89492136
GSM7780153_r3_p3,GSM7780153,160,3,3.0,6.0,29,0.8941966
GSM7780154_r3_p180,GSM7780154,160,3,9.0,9.0,29,0.8927755
GSM7780153_r3_p132,GSM7780153,160,3,7.0,19.0,29,0.8925661
GSM7780154_r3_p209,GSM7780154,160,3,10.0,9.0,29,0.892478
GSM7780153_r3_p59,GSM7780153,160,3,5.0,4.0,29,0.8918976
GSM7780154_r3_p188,GSM7780154,160,3,9.0,17.0,29,0.8901438
GSM7780153_r3_p527,GSM7780153,160,3,21.0,8.0,29,0.8876444
GSM7780153_r3_p128,GSM7780153,160,3,7.0,15.0,29,0.8870137
GSM7780153_r3_p129,GSM7780153,160,3,7.0,16.0,29,0.88643336
GSM7780154_r3_p210,GSM7780154,160,3,10.0,10.0,29,0.88594526
GSM7780153_r3_p130,GSM7780153,160,3,7.0,17.0,29,0.8857062
GSM7780153_r3_p526,GSM7780153,160,3,21.0,7.0,29,0.88374346
GSM7780153_r3_p873,GSM7780153,160,3,33.0,6.0,29,0.8825589
GSM7780153_r3_p33,GSM7780153,160,3,4.0,7.0,29,0.8824849
GSM7780153_r3_p498,GSM7780153,160,3,20.0,8.0,29,0.8809122
GSM7780153_r3_p2,GSM7780153,160,3,3.0,5.0,29,0.8808856
GSM7780153_r3_p133,GSM7780153,160,3,7.0,20.0,29,0.87987345
GSM7780154_r3_p187,GSM7780154,160,3,9.0,16.0,29,0.8776381
GSM7780153_r3_p94,GSM7780153,160,3,6.0,10.0,29,0.87710077
GSM7780154_r3_p176,GSM7780154,160,3,9.0,5.0,29,0.8769089
GSM7780153_r3_p211,GSM7780153,160,3,10.0,11.0,29,0.87608767
GSM7780153_r3_p142,GSM7780153,160,3,7.0,29.0,29,0.8760073
GSM7780153_r3_p100,GSM7780153,160,3,6.0,16.0,29,0.8759891
GSM7780153_r3_p170,GSM7780153,160,3,8.0,28.0,29,0.875338
GSM7780153_r3_p844,GSM7780153,160,3,32.0,6.0,29,0.8747575
GSM7780154_r3_p179,GSM7780154,160,3,9.0,8.0,29,0.87417716
GSM7780153_r3_p497,GSM7780153,160,3,20.0,7.0,29,0.87370765
GSM7780153_r3_p143,GSM7780153,160,3,7.0,30.0,29,0.8734636
GSM7780153_r3_p61,GSM7780153,160,3,5.0,6.0,29,0.87320423
GSM7780153_r3_p50,GSM7780153,160,3,4.0,24.0,29,0.8731531
GSM7780153_r3_p469,GSM7780153,160,3,19.0,8.0,29,0.87284327
GSM7780153_r3_p135,GSM7780153,160,3,7.0,22.0,29,0.872725
GSM7780153_r3_p90,GSM7780153,160,3,6.0,6.0,29,0.8705231
GSM7780153_r3_p164,GSM7780153,160,3,8.0,22.0,29,0.87044406
GSM7780153_r3_p96,GSM7780153,160,3,6.0,12.0,29,0.86977625
GSM7780153_r3_p240,GSM7780153,160,3,11.0,11.0,29,0.86878693
GSM7780153_r3_p95,GSM7780153,160,3,6.0,11.0,29,0.86868185
GSM7780153_r3_p123,GSM7780153,160,3,7.0,10.0,29,0.8683726
GSM7780153_r3_p171,GSM7780153,160,3,8.0,29.0,29,0.8678994
GSM7780153_r3_p213,GSM7780153,160,3,10.0,13.0,29,0.86779195
GSM7780153_r3_p472,GSM7780153,160,3,19.0,11.0,29,0.86599946
GSM7780153_r3_p124,GSM7780153,160,3,7.0,11.0,29,0.86460376
GSM7780153_r3_p118,GSM7780153,160,3,7.0,5.0,29,0.86389256
GSM7780154_r3_p934,GSM7780154,160,3,35.0,9.0,29,0.8633019
GSM7780153_r3_p528,GSM7780153,160,3,21.0,9.0,29,0.86289316
GSM7780153_r3_p467,GSM7780153,160,3,19.0,6.0,29,0.86288774
GSM7780153_r3_p556,GSM7780153,160,3,22.0,8.0,29,0.86246455
GSM7780153_r3_p236,GSM7780153,160,3,11.0,7.0,29,0.8623178
GSM7780153_r3_p265,GSM7780153,160,3,12.0,7.0,29,0.86220115
GSM7780153_r3_p468,GSM7780153,160,3,19.0,7.0,29,0.8615431
GSM7780153_r3_p38,GSM7780153,160,3,4.0,12.0,29,0.8611504
GSM7780153_r3_p233,GSM7780153,160,3,11.0,4.0,29,0.8610117
GSM7780154_r3_p218,GSM7780154,160,3,10.0,18.0,29,0.8608345
GSM7780154_r3_p122,GSM7780154,160,3,7.0,9.0,29,0.8607494
GSM7780153_r3_p501,GSM7780153,160,3,20.0,11.0,29,0.8601663
GSM7780153_r3_p162,GSM7780153,160,3,8.0,20.0,29,0.85952353
GSM7780154_r3_p175,GSM7780154,160,3,9.0,4.0,29,0.859392
GSM7780154_r3_p217,GSM7780154,160,3,10.0,17.0,29,0.85846794
GSM7780153_r3_p262,GSM7780153,160,3,12.0,4.0,29,0.8570886
GSM7780153_r3_p88,GSM7780153,160,3,6.0,4.0,29,0.85684156
GSM7780153_r3_p496,GSM7780153,160,3,20.0,6.0,29,0.856521
GSM7780153_r3_p438,GSM7780153,160,3,18.0,6.0,29,0.85511404
GSM7780153_r3_p183,GSM7780153,160,3,9.0,12.0,29,0.8546911
GSM7780153_r3_p113,GSM7780153,160,3,6.0,29.0,29,0.8546662
GSM7780154_r3_p147,GSM7780154,160,3,8.0,5.0,29,0.8542832
GSM7780154_r3_p64,GSM7780154,160,3,5.0,9.0,29,0.8534478
GSM7780153_r3_p32,GSM7780153,160,3,4.0,6.0,29,0.8530081
GSM7780153_r3_p320,GSM7780153,160,3,14.0,4.0,29,0.8526535
GSM7780153_r3_p439,GSM7780153,160,3,18.0,7.0,29,0.85212725
GSM7780153_r3_p125,GSM7780153,160,3,7.0,12.0,29,0.8520217
GSM7780153_r3_p172,GSM7780153,160,3,8.0,30.0,29,0.8500252
GSM7780153_r3_p473,GSM7780153,160,3,19.0,12.0,29,0.8490892
GSM7780153_r3_p140,GSM7780153,160,3,7.0,27.0,29,0.8486433
GSM7780154_r3_p149,GSM7780154,160,3,8.0,7.0,29,0.848493
GSM7780154_r3_p120,GSM7780154,160,3,7.0,7.0,29,0.8482868
GSM7780153_r3_p9,GSM7780153,160,3,3.0,12.0,29,0.84790957
GSM7780154_r3_p58,GSM7780154,160,3,5.0,3.0,29,0.84727275
GSM7780154_r3_p150,GSM7780154,160,3,8.0,8.0,29,0.84725124
GSM7780153_r3_p181,GSM7780153,160,3,9.0,10.0,29,0.8472364
GSM7780154_r3_p177,GSM7780154,160,3,9.0,6.0,29,0.8471355
GSM7780154_r3_p121,GSM7780154,160,3,7.0,8.0,29,0.8469202
GSM7780153_r3_p131,GSM7780153,160,3,7.0,18.0,29,0.84606445
GSM7780153_r3_p103,GSM7780153,160,3,6.0,19.0,29,0.8454734
GSM7780153_r3_p530,GSM7780153,160,3,21.0,11.0,29,0.8452531
GSM7780153_r3_p872,GSM7780153,160,3,33.0,5.0,29,0.84514284
GSM7780153_r3_p105,GSM7780153,160,3,6.0,21.0,29,0.8450708
GSM7780153_r3_p380,GSM7780153,160,3,16.0,6.0,29,0.8443971
