patch_id,sample_id,resolution_um,radius,center_x,center_y,n_bins,similarity
GSM7780153_r3_p29,GSM7780153,160,3,4.0,3.0,29,0.94646126
GSM7780153_r3_p1,GSM7780153,160,3,3.0,4.0,29,0.94333494
GSM7780153_r3_p61,GSM7780153,160,3,5.0,6.0,29,0.943035
GSM7780153_r3_p32,GSM7780153,160,3,4.0,6.0,29,0.9387237
GSM7780153_r3_p31,GSM7780153,160,3,4.0,5.0,29,0.9383177
GSM7780153_r3_p0,GSM7780153,160,3,3.0,3.0,29,0.93582195
GSM7780153_r3_p116,GSM7780153,160,3,7.0,3.0,29,0.93366766
GSM7780153_r3_p117,GSM7780153,160,3,7.0,4.0,29,0.93116945
GSM7780153_r3_p33,GSM7780153,160,3,4.0,7.0,29,0.92794144
GSM7780153_r3_p30,GSM7780153,160,3,4.0,4.0,29,0.9267906
GSM7780153_r3_p2,GSM7780153,160,3,3.0,5.0,29,0.9253945
GSM7780153_r3_p118,GSM7780153,160,3,7.0,5.0,29,0.92176414
GSM7780153_r3_p60,GSM7780153,160,3,5.0,5.0,29,0.9213347
GSM7780153_r3_p88,GSM7780153,160,3,6.0,4.0,29,0.91780293
GSM7780153_r3_p472,GSM7780153,160,3,19.0,11.0,29,0.9165795
GSM7780153_r3_p213,GSM7780153,160,3,10.0,13.0,29,0.91617876
GSM7780153_r3_p527,GSM7780153,160,3,21.0,8.0,29,0.9134078
GSM7780153_r3_p501,GSM7780153,160,3,20.0,11.0,29,0.9123258
GSM7780153_r3_p526,GSM7780153,160,3,21.0,7.0,29,0.91030604
GSM7780153_r3_p59,GSM7780153,160,3,5.0,4.0,29,0.9099075
GSM7780153_r3_p104,GSM7780153,160,3,6.0,20.0,29,0.909879
GSM7780153_r3_p498,GSM7780153,160,3,20.0,8.0,29,0.9096468
GSM7780153_r3_p141,GSM7780153,160,3,7.0,28.0,29,0.90879375
GSM7780153_r3_p265,GSM7780153,160,3,12.0,7.0,29,0.90868306
GSM7780153_r3_p467,GSM7780153,160,3,19.0,6.0,29,0.9079156
GSM7780154_r3_p151,GSM7780154,160,3,8.0,9.0,29,0.9072544
GSM7780154_r3_p150,GSM7780154,160,3,8.0,8.0,29,0.9071635
GSM7780153_r3_p497,GSM7780153,160,3,20.0,7.0,29,0.90698117
GSM7780153_r3_p262,GSM7780153,160,3,12.0,4.0,29,0.9067999
GSM7780153_r3_p233,GSM7780153,160,3,11.0,4.0,29,0.9067718
GSM7780154_r3_p210,GSM7780154,160,3,10.0,10.0,29,0.90643454
GSM7780154_r3_p187,GSM7780154,160,3,9.0,16.0,29,0.90564126
GSM7780153_r3_p496,GSM7780153,160,3,20.0,6.0,29,0.90400904
GSM7780153_r3_p528,GSM7780153,160,3,21.0,9.0,29,0.9036994
GSM7780153_r3_p468,GSM7780153,160,3,19.0,7.0,29,0.9036962
GSM7780153_r3_p266,GSM7780153,160,3,12.0,8.0,29,0.9029984
GSM7780154_r3_p188,GSM7780154,160,3,9.0,17.0,29,0.90292287
GSM7780153_r3_p211,GSM7780153,160,3,10.0,11.0,29,0.9014911
GSM7780153_r3_p3,GSM7780153,160,3,3.0,6.0,29,0.90147084
GSM7780153_r3_p443,GSM7780153,160,3,18.0,11.0,29,0.9005379
GSM7780153_r3_p181,GSM7780153,160,3,9.0,10.0,29,0.89885694
GSM7780153_r3_p103,GSM7780153,160,3,6.0,19.0,29,0.8978223
GSM7780153_r3_p240,GSM7780153,160,3,11.0,11.0,29,0.89768785
GSM7780153_r3_p236,GSM7780153,160,3,11.0,7.0,29,0.8975455
GSM7780153_r3_p438,GSM7780153,160,3,18.0,6.0,29,0.8970898
GSM7780153_r3_p95,GSM7780153,160,3,6.0,11.0,29,0.8969463
GSM7780153_r3_p163,GSM7780153,160,3,8.0,21.0,29,0.8968562
GSM7780153_r3_p62,GSM7780153,160,3,5.0,7.0,29,0.8968094
GSM7780153_r3_p469,GSM7780153,160,3,19.0,8.0,29,0.8967027
GSM7780153_r3_p409,GSM7780153,160,3,17.0,6.0,29,0.8955512
GSM7780153_r3_p439,GSM7780153,160,3,18.0,7.0,29,0.8949058
GSM7780153_r3_p122,GSM7780153,160,3,7.0,9.0,29,0.89422375
GSM7780153_r3_p151,GSM7780153,160,3,8.0,9.0,29,0.894183
GSM7780153_r3_p142,GSM7780153,160,3,7.0,29.0,29,0.8939266
GSM7780153_r3_p182,GSM7780153,160,3,9.0,11.0,29,0.89339626
GSM7780153_r3_p164,GSM7780153,160,3,8.0,22.0,29,0.89258224
