patch_id,sample_id,resolution_um,radius,center_x,center_y,n_bins,similarity
GSM7780153_r3_p0,GSM7780153,160,3,3.0,3.0,29,0.97096014
GSM7780153_r3_p59,GSM7780153,160,3,5.0,4.0,29,0.9629315
GSM7780153_r3_p60,GSM7780153,160,3,5.0,5.0,29,0.9603412
GSM7780153_r3_p1,GSM7780153,160,3,3.0,4.0,29,0.96013516
GSM7780153_r3_p30,GSM7780153,160,3,4.0,4.0,29,0.94614106
GSM7780154_r3_p149,GSM7780154,160,3,8.0,7.0,29,0.9448621
GSM7780153_r3_p469,GSM7780153,160,3,19.0,8.0,29,0.9423562
GSM7780153_r3_p211,GSM7780153,160,3,10.0,11.0,29,0.9409047
GSM7780153_r3_p102,GSM7780153,160,3,6.0,18.0,29,0.9398116
GSM7780153_r3_p29,GSM7780153,160,3,4.0,3.0,29,0.93930507
GSM7780153_r3_p239,GSM7780153,160,3,11.0,10.0,29,0.93873674
GSM7780153_r3_p124,GSM7780153,160,3,7.0,11.0,29,0.93849903
GSM7780153_r3_p154,GSM7780153,160,3,8.0,12.0,29,0.9381418
GSM7780153_r3_p498,GSM7780153,160,3,20.0,8.0,29,0.9380542
GSM7780154_r3_p120,GSM7780154,160,3,7.0,7.0,29,0.9370849
GSM7780153_r3_p126,GSM7780153,160,3,7.0,13.0,29,0.9368536
GSM7780153_r3_p125,GSM7780153,160,3,7.0,12.0,29,0.936849
GSM7780153_r3_p439,GSM7780153,160,3,18.0,7.0,29,0.9367721
GSM7780153_r3_p90,GSM7780153,160,3,6.0,6.0,29,0.9363225
GSM7780153_r3_p96,GSM7780153,160,3,6.0,12.0,29,0.93613034
GSM7780153_r3_p183,GSM7780153,160,3,9.0,12.0,29,0.93589526
GSM7780153_r3_p208,GSM7780153,160,3,10.0,8.0,29,0.93556774
GSM7780153_r3_p380,GSM7780153,160,3,16.0,6.0,29,0.93546474
GSM7780153_r3_p497,GSM7780153,160,3,20.0,7.0,29,0.9350799
GSM7780153_r3_p68,GSM7780153,160,3,5.0,13.0,29,0.93313897
GSM7780154_r3_p179,GSM7780154,160,3,9.0,8.0,29,0.9329047
GSM7780153_r3_p295,GSM7780153,160,3,13.0,8.0,29,0.93245655
GSM7780153_r3_p323,GSM7780153,160,3,14.0,7.0,29,0.93050313
GSM7780153_r3_p351,GSM7780153,160,3,15.0,6.0,29,0.93022406
GSM7780153_r3_p234,GSM7780153,160,3,11.0,5.0,29,0.92995393
GSM7780153_r3_p210,GSM7780153,160,3,10.0,10.0,29,0.92946047
GSM7780153_r3_p265,GSM7780153,160,3,12.0,7.0,29,0.92876333
GSM7780153_r3_p88,GSM7780153,160,3,6.0,4.0,29,0.9287239
GSM7780153_r3_p153,GSM7780153,160,3,8.0,11.0,29,0.9286804
GSM7780153_r3_p135,GSM7780153,160,3,7.0,22.0,29,0.9283252
GSM7780153_r3_p408,GSM7780153,160,3,17.0,5.0,29,0.9282913
GSM7780153_r3_p352,GSM7780153,160,3,15.0,7.0,29,0.928212
GSM7780153_r3_p468,GSM7780153,160,3,19.0,7.0,29,0.92814624
GSM7780153_r3_p409,GSM7780153,160,3,17.0,6.0,29,0.928143
GSM7780153_r3_p499,GSM7780153,160,3,20.0,9.0,29,0.92811376
GSM7780153_r3_p95,GSM7780153,160,3,6.0,11.0,29,0.92810524
GSM7780154_r3_p145,GSM7780154,160,3,8.0,3.0,29,0.9276217
GSM7780153_r3_p103,GSM7780153,160,3,6.0,19.0,29,0.9270604
GSM7780153_r3_p294,GSM7780153,160,3,13.0,7.0,29,0.9269661
GSM7780153_r3_p152,GSM7780153,160,3,8.0,10.0,29,0.9268738
GSM7780153_r3_p264,GSM7780153,160,3,12.0,6.0,29,0.9267267
GSM7780153_r3_p155,GSM7780153,160,3,8.0,13.0,29,0.9267
GSM7780153_r3_p381,GSM7780153,160,3,16.0,7.0,29,0.92656887
GSM7780153_r3_p123,GSM7780153,160,3,7.0,10.0,29,0.9265652
GSM7780153_r3_p127,GSM7780153,160,3,7.0,14.0,29,0.9264478
GSM7780153_r3_p438,GSM7780153,160,3,18.0,6.0,29,0.92633146
GSM7780153_r3_p320,GSM7780153,160,3,14.0,4.0,29,0.925837
GSM7780153_r3_p128,GSM7780153,160,3,7.0,15.0,29,0.92570364
GSM7780153_r3_p236,GSM7780153,160,3,11.0,7.0,29,0.9255053
GSM7780153_r3_p132,GSM7780153,160,3,7.0,19.0,29,0.9252393
GSM7780153_r3_p99,GSM7780153,160,3,6.0,15.0,29,0.92478305
GSM7780153_r3_p496,GSM7780153,160,3,20.0,6.0,29,0.9246333
GSM7780153_r3_p151,GSM7780153,160,3,8.0,9.0,29,0.92407113
GSM7780153_r3_p238,GSM7780153,160,3,11.0,9.0,29,0.9240171
GSM7780153_r3_p349,GSM7780153,160,3,15.0,4.0,29,0.9239411
GSM7780153_r3_p182,GSM7780153,160,3,9.0,11.0,29,0.92376786
GSM7780153_r3_p89,GSM7780153,160,3,6.0,5.0,29,0.92351675
GSM7780154_r3_p122,GSM7780154,160,3,7.0,9.0,29,0.9233079
GSM7780153_r3_p378,GSM7780153,160,3,16.0,4.0,29,0.9225575
GSM7780153_r3_p61,GSM7780153,160,3,5.0,6.0,29,0.9224946
GSM7780153_r3_p67,GSM7780153,160,3,5.0,12.0,29,0.9223881
GSM7780153_r3_p527,GSM7780153,160,3,21.0,8.0,29,0.9223461
GSM7780153_r3_p324,GSM7780153,160,3,14.0,8.0,29,0.9223356
GSM7780153_r3_p528,GSM7780153,160,3,21.0,9.0,29,0.9223167
GSM7780153_r3_p97,GSM7780153,160,3,6.0,13.0,29,0.9221857
GSM7780153_r3_p379,GSM7780153,160,3,16.0,5.0,29,0.922182
GSM7780154_r3_p150,GSM7780154,160,3,8.0,8.0,29,0.9221527
GSM7780153_r3_p98,GSM7780153,160,3,6.0,14.0,29,0.9221515
GSM7780153_r3_p118,GSM7780153,160,3,7.0,5.0,29,0.9219457
GSM7780153_r3_p441,GSM7780153,160,3,18.0,9.0,29,0.9218766
GSM7780153_r3_p267,GSM7780153,160,3,12.0,9.0,29,0.92164767
GSM7780153_r3_p321,GSM7780153,160,3,14.0,5.0,29,0.9215309
GSM7780153_r3_p207,GSM7780153,160,3,10.0,7.0,29,0.9214035
GSM7780153_r3_p179,GSM7780153,160,3,9.0,8.0,29,0.9209937
GSM7780153_r3_p350,GSM7780153,160,3,15.0,5.0,29,0.92098176
GSM7780153_r3_p525,GSM7780153,160,3,21.0,6.0,29,0.9208508
GSM7780154_r3_p146,GSM7780154,160,3,8.0,4.0,29,0.9207573
GSM7780153_r3_p353,GSM7780153,160,3,15.0,8.0,29,0.92069054
GSM7780153_r3_p526,GSM7780153,160,3,21.0,7.0,29,0.9206859
GSM7780153_r3_p101,GSM7780153,160,3,6.0,17.0,29,0.9206363
GSM7780154_r3_p151,GSM7780154,160,3,8.0,9.0,29,0.9205903
GSM7780153_r3_p410,GSM7780153,160,3,17.0,7.0,29,0.9203211
GSM7780153_r3_p293,GSM7780153,160,3,13.0,6.0,29,0.9199782
GSM7780154_r3_p174,GSM7780154,160,3,9.0,3.0,29,0.9198582
