patch_id,sample_id,resolution_um,radius,center_x,center_y,n_bins,similarity
GSM7780153_r5_p1,GSM7780153,160,5,5.0,7.0,81,0.96263874
GSM7780153_r5_p13,GSM7780153,160,5,7.0,5.0,81,0.9565258
GSM7780153_r5_p42,GSM7780153,160,5,11.0,11.0,81,0.9418885
GSM7780153_r5_p29,GSM7780153,160,5,9.0,11.0,81,0.92973316
GSM7780153_r5_p0,GSM7780153,160,5,5.0,5.0,81,0.9265955
GSM7780153_r5_p52,GSM7780153,160,5,13.0,5.0,81,0.9260678
GSM7780153_r5_p28,GSM7780153,160,5,9.0,9.0,81,0.925729
GSM7780153_r5_p79,GSM7780153,160,5,17.0,7.0,81,0.9249784
GSM7780153_r5_p78,GSM7780153,160,5,17.0,5.0,78,0.9244084
GSM7780153_r5_p65,GSM7780153,160,5,15.0,5.0,80,0.92429674
GSM7780153_r5_p55,GSM7780153,160,5,13.0,11.0,81,0.9231864
GSM7780153_r5_p93,GSM7780153,160,5,19.0,9.0,81,0.92104983
GSM7780153_r5_p15,GSM7780153,160,5,7.0,9.0,81,0.91793543
GSM7780153_r5_p92,GSM7780153,160,5,19.0,7.0,81,0.9177261
GSM7780153_r5_p67,GSM7780153,160,5,15.0,9.0,81,0.9165256
GSM7780153_r5_p53,GSM7780153,160,5,13.0,7.0,81,0.91647017
GSM7780154_r5_p14,GSM7780154,160,5,7.0,7.0,81,0.9163764
GSM7780153_r5_p91,GSM7780153,160,5,19.0,5.0,77,0.9159688
GSM7780153_r5_p39,GSM7780153,160,5,11.0,5.0,81,0.9147324
GSM7780153_r5_p80,GSM7780153,160,5,17.0,9.0,81,0.9137756
GSM7780153_r5_p41,GSM7780153,160,5,11.0,9.0,81,0.9116246
GSM7780154_r5_p2,GSM7780154,160,5,5.0,9.0,81,0.9107465
GSM7780153_r5_p40,GSM7780153,160,5,11.0,7.0,81,0.9100871
GSM7780153_r5_p43,GSM7780153,160,5,11.0,13.0,81,0.9087837
GSM7780154_r5_p15,GSM7780154,160,5,7.0,9.0,81,0.9064137
GSM7780153_r5_p66,GSM7780153,160,5,15.0,7.0,81,0.9061729
GSM7780153_r5_p16,GSM7780153,160,5,7.0,11.0,81,0.9056767
GSM7780153_r5_p94,GSM7780153,160,5,19.0,11.0,81,0.90437394
GSM7780153_r5_p17,GSM7780153,160,5,7.0,13.0,81,0.90308607
GSM7780154_r5_p31,GSM7780154,160,5,9.0,15.0,81,0.9021225
GSM7780154_r5_p17,GSM7780154,160,5,7.0,13.0,81,0.90171814
GSM7780153_r5_p3,GSM7780153,160,5,5.0,11.0,81,0.9016134
GSM7780153_r5_p24,GSM7780153,160,5,7.0,27.0,81,0.9004581
GSM7780154_r5_p3,GSM7780154,160,5,5.0,11.0,81,0.89900696
GSM7780153_r5_p107,GSM7780153,160,5,21.0,11.0,81,0.8931494
GSM7780153_r5_p18,GSM7780153,160,5,7.0,15.0,81,0.8904904
GSM7780153_r5_p30,GSM7780153,160,5,9.0,13.0,81,0.8893577
GSM7780153_r5_p106,GSM7780153,160,5,21.0,9.0,81,0.888892
GSM7780153_r5_p81,GSM7780153,160,5,17.0,11.0,81,0.88794
GSM7780153_r5_p22,GSM7780153,160,5,7.0,23.0,81,0.8871248
GSM7780153_r5_p4,GSM7780153,160,5,5.0,13.0,81,0.8865562
GSM7780153_r5_p8,GSM7780153,160,5,5.0,21.0,81,0.8844866
GSM7780153_r5_p14,GSM7780153,160,5,7.0,7.0,81,0.8830296
GSM7780153_r5_p11,GSM7780153,160,5,5.0,27.0,81,0.8765643
GSM7780153_r5_p20,GSM7780153,160,5,7.0,19.0,81,0.8754947
GSM7780153_r5_p27,GSM7780153,160,5,9.0,7.0,81,0.8751104
GSM7780153_r5_p21,GSM7780153,160,5,7.0,21.0,81,0.87494916
GSM7780154_r5_p13,GSM7780154,160,5,7.0,5.0,81,0.8732939
GSM7780153_r5_p7,GSM7780153,160,5,5.0,19.0,81,0.8724153
GSM7780154_r5_p18,GSM7780154,160,5,7.0,15.0,81,0.8717108
GSM7780153_r5_p9,GSM7780153,160,5,5.0,23.0,81,0.8697402
GSM7780153_r5_p10,GSM7780153,160,5,5.0,25.0,81,0.86782384
GSM7780153_r5_p5,GSM7780153,160,5,5.0,15.0,81,0.8633423
GSM7780153_r5_p19,GSM7780153,160,5,7.0,17.0,81,0.8621758
GSM7780153_r5_p105,GSM7780153,160,5,21.0,7.0,81,0.8586116
GSM7780153_r5_p6,GSM7780153,160,5,5.0,17.0,81,0.85836816
GSM7780154_r5_p26,GSM7780154,160,5,9.0,5.0,81,0.85330075
GSM7780154_r5_p28,GSM7780154,160,5,9.0,9.0,81,0.8528057
GSM7780154_r5_p1,GSM7780154,160,5,5.0,7.0,81,0.85110414
GSM7780153_r5_p182,GSM7780153,160,5,33.0,5.0,80,0.8467035
GSM7780153_r5_p12,GSM7780153,160,5,5.0,29.0,81,0.84580594
GSM7780154_r5_p16,GSM7780154,160,5,7.0,11.0,81,0.841064
GSM7780153_r5_p243,GSM7780153,160,5,41.0,23.0,80,0.8360607
GSM7780154_r5_p4,GSM7780154,160,5,5.0,13.0,81,0.83473605
GSM7780154_r5_p32,GSM7780154,160,5,9.0,17.0,81,0.8221085
GSM7780153_r5_p119,GSM7780153,160,5,23.0,9.0,81,0.81546926
GSM7780154_r5_p27,GSM7780154,160,5,9.0,7.0,81,0.81350774
GSM7780154_r5_p210,GSM7780154,160,5,37.0,9.0,81,0.81319416
GSM7780153_r5_p244,GSM7780153,160,5,41.0,25.0,80,0.8126496
GSM7780154_r5_p29,GSM7780154,160,5,9.0,11.0,81,0.81113875
GSM7780154_r5_p19,GSM7780154,160,5,7.0,17.0,81,0.8110699
GSM7780153_r5_p56,GSM7780153,160,5,13.0,13.0,81,0.8096899
GSM7780153_r5_p203,GSM7780153,160,5,35.0,21.0,81,0.80242443
GSM7780153_r5_p25,GSM7780153,160,5,7.0,29.0,80,0.800111
GSM7780154_r5_p196,GSM7780154,160,5,35.0,7.0,81,0.7989998
GSM7780154_r5_p208,GSM7780154,160,5,37.0,5.0,81,0.7975832
GSM7780153_r5_p231,GSM7780153,160,5,39.0,25.0,80,0.79465944
GSM7780154_r5_p33,GSM7780154,160,5,9.0,19.0,81,0.79439706
GSM7780154_r5_p197,GSM7780154,160,5,35.0,9.0,81,0.7934045
GSM7780154_r5_p223,GSM7780154,160,5,39.0,9.0,81,0.7909693
GSM7780153_r5_p69,GSM7780153,160,5,15.0,13.0,81,0.79004276
GSM7780154_r5_p238,GSM7780154,160,5,41.0,13.0,81,0.78741646
GSM7780154_r5_p41,GSM7780154,160,5,11.0,9.0,81,0.78511435
GSM7780154_r5_p0,GSM7780154,160,5,5.0,5.0,81,0.7807814
GSM7780153_r5_p189,GSM7780153,160,5,33.0,19.0,81,0.7804731
GSM7780154_r5_p42,GSM7780154,160,5,11.0,11.0,81,0.7798961
GSM7780153_r5_p54,GSM7780153,160,5,13.0,9.0,81,0.77987033
GSM7780153_r5_p68,GSM7780153,160,5,15.0,11.0,81,0.77856517
GSM7780153_r5_p215,GSM7780153,160,5,37.0,19.0,81,0.77853936
GSM7780153_r5_p232,GSM7780153,160,5,39.0,27.0,80,0.7763101
GSM7780154_r5_p222,GSM7780154,160,5,39.0,7.0,81,0.7749727
GSM7780154_r5_p239,GSM7780154,160,5,41.0,15.0,81,0.77350307
GSM7780153_r5_p230,GSM7780153,160,5,39.0,23.0,80,0.7730264
GSM7780153_r5_p37,GSM7780153,160,5,9.0,27.0,81,0.77244806
GSM7780153_r5_p104,GSM7780153,160,5,21.0,5.0,77,0.7722016
GSM7780153_r5_p216,GSM7780153,160,5,37.0,21.0,81,0.7688694
GSM7780153_r5_p2,GSM7780153,160,5,5.0,9.0,81,0.7642539
GSM7780153_r5_p201,GSM7780153,160,5,35.0,17.0,81,0.75786287
GSM7780153_r5_p118,GSM7780153,160,5,23.0,7.0,81,0.75506896
