patch_id,sample_id,resolution_um,radius,center_x,center_y,n_bins,similarity
GSM7780153_r5_p0,GSM7780153,160,5,5.0,5.0,81,0.94766426
GSM7780153_r5_p13,GSM7780153,160,5,7.0,5.0,81,0.94345117
GSM7780153_r5_p1,GSM7780153,160,5,5.0,7.0,81,0.9433528
GSM7780153_r5_p92,GSM7780153,160,5,19.0,7.0,81,0.919956
GSM7780153_r5_p42,GSM7780153,160,5,11.0,11.0,81,0.91813326
GSM7780153_r5_p78,GSM7780153,160,5,17.0,5.0,78,0.91455656
GSM7780153_r5_p94,GSM7780153,160,5,19.0,11.0,81,0.91345465
GSM7780153_r5_p29,GSM7780153,160,5,9.0,11.0,81,0.9132881
GSM7780153_r5_p79,GSM7780153,160,5,17.0,7.0,81,0.9116819
GSM7780154_r5_p15,GSM7780154,160,5,7.0,9.0,81,0.90607065
GSM7780153_r5_p52,GSM7780153,160,5,13.0,5.0,81,0.9058678
GSM7780153_r5_p55,GSM7780153,160,5,13.0,11.0,81,0.9051831
GSM7780153_r5_p15,GSM7780153,160,5,7.0,9.0,81,0.9039298
GSM7780153_r5_p40,GSM7780153,160,5,11.0,7.0,81,0.90314597
GSM7780153_r5_p91,GSM7780153,160,5,19.0,5.0,77,0.9027781
GSM7780153_r5_p65,GSM7780153,160,5,15.0,5.0,80,0.9025436
GSM7780153_r5_p28,GSM7780153,160,5,9.0,9.0,81,0.90225977
GSM7780153_r5_p67,GSM7780153,160,5,15.0,9.0,81,0.900225
GSM7780154_r5_p2,GSM7780154,160,5,5.0,9.0,81,0.89863896
GSM7780153_r5_p53,GSM7780153,160,5,13.0,7.0,81,0.8964148
GSM7780153_r5_p39,GSM7780153,160,5,11.0,5.0,81,0.89626884
GSM7780154_r5_p17,GSM7780154,160,5,7.0,13.0,81,0.896261
GSM7780154_r5_p14,GSM7780154,160,5,7.0,7.0,81,0.89500314
GSM7780153_r5_p16,GSM7780153,160,5,7.0,11.0,81,0.89491606
GSM7780153_r5_p93,GSM7780153,160,5,19.0,9.0,81,0.8934315
GSM7780153_r5_p41,GSM7780153,160,5,11.0,9.0,81,0.8926779
GSM7780153_r5_p3,GSM7780153,160,5,5.0,11.0,81,0.89187396
GSM7780153_r5_p43,GSM7780153,160,5,11.0,13.0,81,0.89169824
GSM7780153_r5_p66,GSM7780153,160,5,15.0,7.0,81,0.8887615
GSM7780153_r5_p18,GSM7780153,160,5,7.0,15.0,81,0.8874359
GSM7780153_r5_p21,GSM7780153,160,5,7.0,21.0,81,0.88617265
GSM7780153_r5_p106,GSM7780153,160,5,21.0,9.0,81,0.88484967
GSM7780153_r5_p107,GSM7780153,160,5,21.0,11.0,81,0.88407826
GSM7780153_r5_p105,GSM7780153,160,5,21.0,7.0,81,0.88333935
GSM7780154_r5_p3,GSM7780154,160,5,5.0,11.0,81,0.8829585
GSM7780153_r5_p80,GSM7780153,160,5,17.0,9.0,81,0.88232046
GSM7780153_r5_p17,GSM7780153,160,5,7.0,13.0,81,0.8815621
GSM7780153_r5_p24,GSM7780153,160,5,7.0,27.0,81,0.8813551
GSM7780154_r5_p31,GSM7780154,160,5,9.0,15.0,81,0.8792692
GSM7780153_r5_p19,GSM7780153,160,5,7.0,17.0,81,0.87699586
GSM7780154_r5_p28,GSM7780154,160,5,9.0,9.0,81,0.8740996
GSM7780153_r5_p20,GSM7780153,160,5,7.0,19.0,81,0.8727556
GSM7780153_r5_p30,GSM7780153,160,5,9.0,13.0,81,0.8702213
GSM7780153_r5_p4,GSM7780153,160,5,5.0,13.0,81,0.8700884
GSM7780154_r5_p26,GSM7780154,160,5,9.0,5.0,81,0.86916107
GSM7780153_r5_p22,GSM7780153,160,5,7.0,23.0,81,0.8633347
GSM7780153_r5_p81,GSM7780153,160,5,17.0,11.0,81,0.8606527
GSM7780153_r5_p10,GSM7780153,160,5,5.0,25.0,81,0.85742193
GSM7780153_r5_p8,GSM7780153,160,5,5.0,21.0,81,0.8571428
GSM7780154_r5_p13,GSM7780154,160,5,7.0,5.0,81,0.8570876
GSM7780153_r5_p9,GSM7780153,160,5,5.0,23.0,81,0.8484495
GSM7780153_r5_p7,GSM7780153,160,5,5.0,19.0,81,0.84811246
GSM7780153_r5_p14,GSM7780153,160,5,7.0,7.0,81,0.84610796
GSM7780154_r5_p210,GSM7780154,160,5,37.0,9.0,81,0.8441209
GSM7780153_r5_p27,GSM7780153,160,5,9.0,7.0,81,0.8437806
GSM7780153_r5_p5,GSM7780153,160,5,5.0,15.0,81,0.84366834
GSM7780153_r5_p11,GSM7780153,160,5,5.0,27.0,81,0.84131896
GSM7780153_r5_p6,GSM7780153,160,5,5.0,17.0,81,0.83653617
GSM7780154_r5_p223,GSM7780154,160,5,39.0,9.0,81,0.83564824
GSM7780153_r5_p182,GSM7780153,160,5,33.0,5.0,80,0.83550113
GSM7780153_r5_p243,GSM7780153,160,5,41.0,23.0,80,0.8341766
GSM7780153_r5_p203,GSM7780153,160,5,35.0,21.0,81,0.83291036
GSM7780154_r5_p32,GSM7780154,160,5,9.0,17.0,81,0.82925117
GSM7780154_r5_p208,GSM7780154,160,5,37.0,5.0,81,0.82488185
GSM7780153_r5_p244,GSM7780153,160,5,41.0,25.0,80,0.8248371
GSM7780153_r5_p25,GSM7780153,160,5,7.0,29.0,80,0.824312
GSM7780154_r5_p197,GSM7780154,160,5,35.0,9.0,81,0.8238687
GSM7780154_r5_p1,GSM7780154,160,5,5.0,7.0,81,0.822412
GSM7780154_r5_p4,GSM7780154,160,5,5.0,13.0,81,0.81960016
GSM7780154_r5_p16,GSM7780154,160,5,7.0,11.0,81,0.8188597
GSM7780153_r5_p216,GSM7780153,160,5,37.0,21.0,81,0.8142048
GSM7780154_r5_p18,GSM7780154,160,5,7.0,15.0,81,0.8127662
GSM7780154_r5_p27,GSM7780154,160,5,9.0,7.0,81,0.8092216
GSM7780153_r5_p215,GSM7780153,160,5,37.0,19.0,81,0.8079631
GSM7780154_r5_p196,GSM7780154,160,5,35.0,7.0,81,0.8044678
GSM7780153_r5_p119,GSM7780153,160,5,23.0,9.0,81,0.80336154
GSM7780153_r5_p12,GSM7780153,160,5,5.0,29.0,81,0.80307114
GSM7780154_r5_p222,GSM7780154,160,5,39.0,7.0,81,0.8022393
GSM7780153_r5_p201,GSM7780153,160,5,35.0,17.0,81,0.7999206
GSM7780154_r5_p33,GSM7780154,160,5,9.0,19.0,81,0.7968097
GSM7780154_r5_p29,GSM7780154,160,5,9.0,11.0,81,0.79590493
GSM7780153_r5_p189,GSM7780153,160,5,33.0,19.0,81,0.793415
GSM7780153_r5_p232,GSM7780153,160,5,39.0,27.0,80,0.7869411
GSM7780153_r5_p246,GSM7780153,160,5,41.0,29.0,78,0.785626
GSM7780153_r5_p239,GSM7780153,160,5,41.0,15.0,81,0.7846642
GSM7780153_r5_p230,GSM7780153,160,5,39.0,23.0,80,0.7827255
GSM7780153_r5_p69,GSM7780153,160,5,15.0,13.0,81,0.7811502
GSM7780153_r5_p245,GSM7780153,160,5,41.0,27.0,80,0.7785045
GSM7780154_r5_p238,GSM7780154,160,5,41.0,13.0,81,0.7756972
GSM7780153_r5_p37,GSM7780153,160,5,9.0,27.0,81,0.77476925
GSM7780153_r5_p231,GSM7780153,160,5,39.0,25.0,80,0.77450716
GSM7780154_r5_p239,GSM7780154,160,5,41.0,15.0,81,0.7741466
GSM7780154_r5_p236,GSM7780154,160,5,41.0,9.0,81,0.77382314
GSM7780153_r5_p56,GSM7780153,160,5,13.0,13.0,81,0.77267396
GSM7780153_r5_p54,GSM7780153,160,5,13.0,9.0,81,0.76555336
GSM7780154_r5_p42,GSM7780154,160,5,11.0,11.0,81,0.7636883
GSM7780153_r5_p118,GSM7780153,160,5,23.0,7.0,81,0.7632682
GSM7780154_r5_p19,GSM7780154,160,5,7.0,17.0,81,0.7631563
GSM7780153_r5_p104,GSM7780153,160,5,21.0,5.0,77,0.76251084
GSM7780154_r5_p41,GSM7780154,160,5,11.0,9.0,81,0.7553799
