patch_id,sample_id,resolution_um,radius,center_x,center_y,n_bins,similarity
GSM7780153_r3_p29,GSM7780153,160,3,4.0,3.0,29,0.97056437
GSM7780153_r3_p31,GSM7780153,160,3,4.0,5.0,29,0.9557503
GSM7780153_r3_p1,GSM7780153,160,3,3.0,4.0,29,0.94787276
GSM7780153_r3_p30,GSM7780153,160,3,4.0,4.0,29,0.9466569
GSM7780153_r3_p104,GSM7780153,160,3,6.0,20.0,29,0.9326225
GSM7780154_r3_p151,GSM7780154,160,3,8.0,9.0,29,0.932559
GSM7780153_r3_p2,GSM7780153,160,3,3.0,5.0,29,0.9303952
GSM7780153_r3_p33,GSM7780153,160,3,4.0,7.0,29,0.92994416
GSM7780153_r3_p61,GSM7780153,160,3,5.0,6.0,29,0.9275019
GSM7780153_r3_p60,GSM7780153,160,3,5.0,5.0,29,0.9233138
GSM7780153_r3_p0,GSM7780153,160,3,3.0,3.0,29,0.92195785
GSM7780153_r3_p59,GSM7780153,160,3,5.0,4.0,29,0.9207564
GSM7780153_r3_p118,GSM7780153,160,3,7.0,5.0,29,0.9188622
GSM7780153_r3_p32,GSM7780153,160,3,4.0,6.0,29,0.9178951
GSM7780153_r3_p3,GSM7780153,160,3,3.0,6.0,29,0.91737545
GSM7780153_r3_p141,GSM7780153,160,3,7.0,28.0,29,0.9164469
GSM7780153_r3_p117,GSM7780153,160,3,7.0,4.0,29,0.91580355
GSM7780153_r3_p116,GSM7780153,160,3,7.0,3.0,29,0.9146048
GSM7780154_r3_p210,GSM7780154,160,3,10.0,10.0,29,0.913125
GSM7780153_r3_p472,GSM7780153,160,3,19.0,11.0,29,0.9109677
GSM7780154_r3_p188,GSM7780154,160,3,9.0,17.0,29,0.91018987
GSM7780153_r3_p240,GSM7780153,160,3,11.0,11.0,29,0.90919685
GSM7780154_r3_p187,GSM7780154,160,3,9.0,16.0,29,0.90838784
GSM7780153_r3_p88,GSM7780153,160,3,6.0,4.0,29,0.90819633
GSM7780153_r3_p501,GSM7780153,160,3,20.0,11.0,29,0.90694404
GSM7780153_r3_p527,GSM7780153,160,3,21.0,8.0,29,0.9060173
GSM7780153_r3_p163,GSM7780153,160,3,8.0,21.0,29,0.90572655
GSM7780153_r3_p213,GSM7780153,160,3,10.0,13.0,29,0.9055996
GSM7780153_r3_p498,GSM7780153,160,3,20.0,8.0,29,0.90411127
GSM7780153_r3_p526,GSM7780153,160,3,21.0,7.0,29,0.90360665
GSM7780153_r3_p134,GSM7780153,160,3,7.0,21.0,29,0.90302455
GSM7780153_r3_p265,GSM7780153,160,3,12.0,7.0,29,0.90142614
GSM7780153_r3_p95,GSM7780153,160,3,6.0,11.0,29,0.9008743
GSM7780153_r3_p528,GSM7780153,160,3,21.0,9.0,29,0.9005124
GSM7780153_r3_p467,GSM7780153,160,3,19.0,6.0,29,0.9001185
GSM7780153_r3_p164,GSM7780153,160,3,8.0,22.0,29,0.899189
GSM7780153_r3_p443,GSM7780153,160,3,18.0,11.0,29,0.8985891
GSM7780153_r3_p140,GSM7780153,160,3,7.0,27.0,29,0.89831764
GSM7780153_r3_p497,GSM7780153,160,3,20.0,7.0,29,0.8979088
GSM7780153_r3_p211,GSM7780153,160,3,10.0,11.0,29,0.8970516
GSM7780153_r3_p496,GSM7780153,160,3,20.0,6.0,29,0.8967947
GSM7780153_r3_p468,GSM7780153,160,3,19.0,7.0,29,0.89649665
GSM7780153_r3_p469,GSM7780153,160,3,19.0,8.0,29,0.89519465
GSM7780154_r3_p150,GSM7780154,160,3,8.0,8.0,29,0.89409035
GSM7780153_r3_p94,GSM7780153,160,3,6.0,10.0,29,0.8930306
GSM7780154_r3_p209,GSM7780154,160,3,10.0,9.0,29,0.89260846
GSM7780153_r3_p105,GSM7780153,160,3,6.0,21.0,29,0.89253116
GSM7780153_r3_p212,GSM7780153,160,3,10.0,12.0,29,0.8918774
GSM7780153_r3_p262,GSM7780153,160,3,12.0,4.0,29,0.8918592
GSM7780153_r3_p100,GSM7780153,160,3,6.0,16.0,29,0.89172333
GSM7780153_r3_p170,GSM7780153,160,3,8.0,28.0,29,0.8914957
GSM7780153_r3_p233,GSM7780153,160,3,11.0,4.0,29,0.8913273
GSM7780153_r3_p530,GSM7780153,160,3,21.0,11.0,29,0.89065325
GSM7780153_r3_p103,GSM7780153,160,3,6.0,19.0,29,0.89009446
GSM7780153_r3_p129,GSM7780153,160,3,7.0,16.0,29,0.889997
GSM7780153_r3_p181,GSM7780153,160,3,9.0,10.0,29,0.889894
GSM7780153_r3_p128,GSM7780153,160,3,7.0,15.0,29,0.88986284
GSM7780153_r3_p143,GSM7780153,160,3,7.0,30.0,29,0.8896411
GSM7780154_r3_p181,GSM7780154,160,3,9.0,10.0,29,0.889592
GSM7780153_r3_p142,GSM7780153,160,3,7.0,29.0,29,0.88945043
GSM7780154_r3_p179,GSM7780154,160,3,9.0,8.0,29,0.8891558
GSM7780153_r3_p236,GSM7780153,160,3,11.0,7.0,29,0.88886136
GSM7780153_r3_p96,GSM7780153,160,3,6.0,12.0,29,0.8874982
GSM7780153_r3_p873,GSM7780153,160,3,33.0,6.0,29,0.8867438
GSM7780153_r3_p438,GSM7780153,160,3,18.0,6.0,29,0.8860321
GSM7780153_r3_p439,GSM7780153,160,3,18.0,7.0,29,0.8859227
GSM7780154_r3_p152,GSM7780154,160,3,8.0,10.0,29,0.88464296
GSM7780153_r3_p132,GSM7780153,160,3,7.0,19.0,29,0.88447475
GSM7780153_r3_p183,GSM7780153,160,3,9.0,12.0,29,0.8843979
GSM7780153_r3_p135,GSM7780153,160,3,7.0,22.0,29,0.8841006
GSM7780153_r3_p266,GSM7780153,160,3,12.0,8.0,29,0.88388073
GSM7780153_r3_p556,GSM7780153,160,3,22.0,8.0,29,0.8835819
GSM7780153_r3_p409,GSM7780153,160,3,17.0,6.0,29,0.8827465
GSM7780153_r3_p58,GSM7780153,160,3,5.0,3.0,29,0.8814359
GSM7780153_r3_p380,GSM7780153,160,3,16.0,6.0,29,0.88054997
GSM7780154_r3_p65,GSM7780154,160,3,5.0,10.0,29,0.88009864
GSM7780153_r3_p18,GSM7780153,160,3,3.0,21.0,29,0.87997806
GSM7780153_r3_p113,GSM7780153,160,3,6.0,29.0,29,0.87919915
GSM7780153_r3_p38,GSM7780153,160,3,4.0,12.0,29,0.8788238
GSM7780153_r3_p320,GSM7780153,160,3,14.0,4.0,29,0.87879145
GSM7780153_r3_p555,GSM7780153,160,3,22.0,7.0,29,0.878278
GSM7780153_r3_p151,GSM7780153,160,3,8.0,9.0,29,0.8780645
GSM7780153_r3_p351,GSM7780153,160,3,15.0,6.0,29,0.8773088
GSM7780153_r3_p124,GSM7780153,160,3,7.0,11.0,29,0.8771207
GSM7780154_r3_p216,GSM7780154,160,3,10.0,16.0,29,0.87691087
GSM7780154_r3_p64,GSM7780154,160,3,5.0,9.0,29,0.87658256
GSM7780154_r3_p149,GSM7780154,160,3,8.0,7.0,29,0.8764904
GSM7780154_r3_p180,GSM7780154,160,3,9.0,9.0,29,0.87638825
GSM7780154_r3_p176,GSM7780154,160,3,9.0,5.0,29,0.8756148
GSM7780153_r3_p182,GSM7780153,160,3,9.0,11.0,29,0.87531114
GSM7780153_r3_p326,GSM7780153,160,3,14.0,10.0,29,0.8749803
GSM7780153_r3_p162,GSM7780153,160,3,8.0,20.0,29,0.8749731
GSM7780153_r3_p291,GSM7780153,160,3,13.0,4.0,29,0.87492865
GSM7780153_r3_p353,GSM7780153,160,3,15.0,8.0,29,0.87453246
GSM7780153_r3_p349,GSM7780153,160,3,15.0,4.0,29,0.8744318
GSM7780153_r3_p410,GSM7780153,160,3,17.0,7.0,29,0.87395245
GSM7780153_r3_p130,GSM7780153,160,3,7.0,17.0,29,0.87392414
GSM7780153_r3_p557,GSM7780153,160,3,22.0,9.0,29,0.8736721
GSM7780153_r3_p207,GSM7780153,160,3,10.0,7.0,29,0.87339693
GSM7780153_r3_p123,GSM7780153,160,3,7.0,10.0,29,0.87328637
