patch_id,sample_id,resolution_um,radius,center_x,center_y,n_bins,similarity
GSM7780153_r3_p0,GSM7780153,160,3,3.0,3.0,29,0.96190435
GSM7780153_r3_p1,GSM7780153,160,3,3.0,4.0,29,0.95768976
GSM7780153_r3_p59,GSM7780153,160,3,5.0,4.0,29,0.9546043
GSM7780154_r3_p149,GSM7780154,160,3,8.0,7.0,29,0.9542745
GSM7780153_r3_p60,GSM7780153,160,3,5.0,5.0,29,0.951646
GSM7780153_r3_p102,GSM7780153,160,3,6.0,18.0,29,0.95111436
GSM7780153_r3_p96,GSM7780153,160,3,6.0,12.0,29,0.95007
GSM7780153_r3_p126,GSM7780153,160,3,7.0,13.0,29,0.949152
GSM7780153_r3_p124,GSM7780153,160,3,7.0,11.0,29,0.9488516
GSM7780153_r3_p211,GSM7780153,160,3,10.0,11.0,29,0.94716334
GSM7780153_r3_p125,GSM7780153,160,3,7.0,12.0,29,0.9455801
GSM7780153_r3_p469,GSM7780153,160,3,19.0,8.0,29,0.9447794
GSM7780153_r3_p154,GSM7780153,160,3,8.0,12.0,29,0.9446373
GSM7780153_r3_p30,GSM7780153,160,3,4.0,4.0,29,0.9442752
GSM7780153_r3_p68,GSM7780153,160,3,5.0,13.0,29,0.94415575
GSM7780153_r3_p95,GSM7780153,160,3,6.0,11.0,29,0.9441399
GSM7780153_r3_p183,GSM7780153,160,3,9.0,12.0,29,0.9439833
GSM7780154_r3_p120,GSM7780154,160,3,7.0,7.0,29,0.94371367
GSM7780153_r3_p498,GSM7780153,160,3,20.0,8.0,29,0.9419784
GSM7780153_r3_p439,GSM7780153,160,3,18.0,7.0,29,0.94111454
GSM7780153_r3_p265,GSM7780153,160,3,12.0,7.0,29,0.9401436
GSM7780153_r3_p208,GSM7780153,160,3,10.0,8.0,29,0.9400206
GSM7780154_r3_p179,GSM7780154,160,3,9.0,8.0,29,0.9398925
GSM7780153_r3_p128,GSM7780153,160,3,7.0,15.0,29,0.9391212
GSM7780153_r3_p380,GSM7780153,160,3,16.0,6.0,29,0.93902147
GSM7780153_r3_p29,GSM7780153,160,3,4.0,3.0,29,0.938712
GSM7780153_r3_p239,GSM7780153,160,3,11.0,10.0,29,0.9386133
GSM7780153_r3_p103,GSM7780153,160,3,6.0,19.0,29,0.93843925
GSM7780153_r3_p497,GSM7780153,160,3,20.0,7.0,29,0.9384069
GSM7780154_r3_p151,GSM7780154,160,3,8.0,9.0,29,0.9381144
GSM7780153_r3_p351,GSM7780153,160,3,15.0,6.0,29,0.9375036
GSM7780153_r3_p127,GSM7780153,160,3,7.0,14.0,29,0.93706954
GSM7780153_r3_p323,GSM7780153,160,3,14.0,7.0,29,0.9363363
GSM7780154_r3_p146,GSM7780154,160,3,8.0,4.0,29,0.9363081
GSM7780154_r3_p150,GSM7780154,160,3,8.0,8.0,29,0.93629783
GSM7780154_r3_p145,GSM7780154,160,3,8.0,3.0,29,0.93618983
GSM7780153_r3_p182,GSM7780153,160,3,9.0,11.0,29,0.9359843
GSM7780153_r3_p135,GSM7780153,160,3,7.0,22.0,29,0.93593526
GSM7780154_r3_p121,GSM7780154,160,3,7.0,8.0,29,0.9359052
GSM7780153_r3_p99,GSM7780153,160,3,6.0,15.0,29,0.9357362
GSM7780153_r3_p97,GSM7780153,160,3,6.0,13.0,29,0.9349811
GSM7780153_r3_p152,GSM7780153,160,3,8.0,10.0,29,0.9345071
GSM7780153_r3_p295,GSM7780153,160,3,13.0,8.0,29,0.93447065
GSM7780153_r3_p496,GSM7780153,160,3,20.0,6.0,29,0.93411124
GSM7780153_r3_p132,GSM7780153,160,3,7.0,19.0,29,0.93408734
GSM7780153_r3_p468,GSM7780153,160,3,19.0,7.0,29,0.9336501
GSM7780153_r3_p234,GSM7780153,160,3,11.0,5.0,29,0.9334109
GSM7780153_r3_p101,GSM7780153,160,3,6.0,17.0,29,0.93288386
GSM7780153_r3_p153,GSM7780153,160,3,8.0,11.0,29,0.9325939
GSM7780153_r3_p123,GSM7780153,160,3,7.0,10.0,29,0.93255574
