patch_id,sample_id,resolution_um,radius,center_x,center_y,n_bins,similarity
GSM7780153_r3_p134,GSM7780153,160,3,7.0,21.0,29,0.9571253
GSM7780153_r3_p30,GSM7780153,160,3,4.0,4.0,29,0.9536189
GSM7780153_r3_p29,GSM7780153,160,3,4.0,3.0,29,0.952286
GSM7780154_r3_p151,GSM7780154,160,3,8.0,9.0,29,0.9481621
GSM7780153_r3_p163,GSM7780153,160,3,8.0,21.0,29,0.9458993
GSM7780153_r3_p104,GSM7780153,160,3,6.0,20.0,29,0.9457153
GSM7780153_r3_p141,GSM7780153,160,3,7.0,28.0,29,0.9423955
GSM7780154_r3_p180,GSM7780154,160,3,9.0,9.0,29,0.94059646
GSM7780154_r3_p181,GSM7780154,160,3,9.0,10.0,29,0.9400854
GSM7780154_r3_p209,GSM7780154,160,3,10.0,9.0,29,0.93966264
GSM7780153_r3_p1,GSM7780153,160,3,3.0,4.0,29,0.9396547
GSM7780153_r3_p130,GSM7780153,160,3,7.0,17.0,29,0.939024
GSM7780154_r3_p210,GSM7780154,160,3,10.0,10.0,29,0.9389877
GSM7780153_r3_p212,GSM7780153,160,3,10.0,12.0,29,0.93876874
GSM7780153_r3_p31,GSM7780153,160,3,4.0,5.0,29,0.93873215
GSM7780154_r3_p188,GSM7780154,160,3,9.0,17.0,29,0.9383663
GSM7780153_r3_p129,GSM7780153,160,3,7.0,16.0,29,0.937955
GSM7780153_r3_p3,GSM7780153,160,3,3.0,6.0,29,0.9374515
GSM7780153_r3_p132,GSM7780153,160,3,7.0,19.0,29,0.93730664
GSM7780153_r3_p128,GSM7780153,160,3,7.0,15.0,29,0.9357227
GSM7780153_r3_p133,GSM7780153,160,3,7.0,20.0,29,0.93523264
GSM7780153_r3_p60,GSM7780153,160,3,5.0,5.0,29,0.93518543
GSM7780153_r3_p50,GSM7780153,160,3,4.0,24.0,29,0.93378
GSM7780153_r3_p164,GSM7780153,160,3,8.0,22.0,29,0.93367803
GSM7780154_r3_p176,GSM7780154,160,3,9.0,5.0,29,0.93307066
GSM7780154_r3_p187,GSM7780154,160,3,9.0,16.0,29,0.9325329
GSM7780153_r3_p143,GSM7780153,160,3,7.0,30.0,29,0.93231666
GSM7780153_r3_p170,GSM7780153,160,3,8.0,28.0,29,0.9319812
GSM7780153_r3_p0,GSM7780153,160,3,3.0,3.0,29,0.93172956
GSM7780153_r3_p135,GSM7780153,160,3,7.0,22.0,29,0.9314847
GSM7780153_r3_p94,GSM7780153,160,3,6.0,10.0,29,0.9298328
