patch_id,sample_id,resolution_um,radius,center_x,center_y,n_bins,similarity
GSM7780153_r5_p13,GSM7780153,160,5,7.0,5.0,81,0.95277745
GSM7780153_r5_p1,GSM7780153,160,5,5.0,7.0,81,0.9433297
GSM7780153_r5_p0,GSM7780153,160,5,5.0,5.0,81,0.92779446
GSM7780153_r5_p42,GSM7780153,160,5,11.0,11.0,81,0.92194605
GSM7780153_r5_p94,GSM7780153,160,5,19.0,11.0,81,0.9149695
GSM7780153_r5_p78,GSM7780153,160,5,17.0,5.0,78,0.9129063
GSM7780153_r5_p92,GSM7780153,160,5,19.0,7.0,81,0.9128138
GSM7780153_r5_p29,GSM7780153,160,5,9.0,11.0,81,0.90856427
GSM7780153_r5_p79,GSM7780153,160,5,17.0,7.0,81,0.90843284
GSM7780153_r5_p40,GSM7780153,160,5,11.0,7.0,81,0.90576833
GSM7780153_r5_p55,GSM7780153,160,5,13.0,11.0,81,0.90532935
GSM7780153_r5_p67,GSM7780153,160,5,15.0,9.0,81,0.9049677
GSM7780153_r5_p91,GSM7780153,160,5,19.0,5.0,77,0.9048339
GSM7780153_r5_p15,GSM7780153,160,5,7.0,9.0,81,0.90387917
GSM7780153_r5_p52,GSM7780153,160,5,13.0,5.0,81,0.90385586
GSM7780153_r5_p28,GSM7780153,160,5,9.0,9.0,81,0.9022464
GSM7780154_r5_p2,GSM7780154,160,5,5.0,9.0,81,0.90178025
GSM7780153_r5_p65,GSM7780153,160,5,15.0,5.0,80,0.90154225
GSM7780154_r5_p15,GSM7780154,160,5,7.0,9.0,81,0.9013618
GSM7780153_r5_p43,GSM7780153,160,5,11.0,13.0,81,0.89899564
GSM7780153_r5_p53,GSM7780153,160,5,13.0,7.0,81,0.8987054
GSM7780153_r5_p39,GSM7780153,160,5,11.0,5.0,81,0.897821
GSM7780154_r5_p17,GSM7780154,160,5,7.0,13.0,81,0.8954153
GSM7780154_r5_p14,GSM7780154,160,5,7.0,7.0,81,0.89290076
GSM7780154_r5_p31,GSM7780154,160,5,9.0,15.0,81,0.8914084
GSM7780153_r5_p107,GSM7780153,160,5,21.0,11.0,81,0.8905885
GSM7780153_r5_p24,GSM7780153,160,5,7.0,27.0,81,0.88988966
GSM7780154_r5_p3,GSM7780154,160,5,5.0,11.0,81,0.8885255
GSM7780153_r5_p93,GSM7780153,160,5,19.0,9.0,81,0.8874904
GSM7780153_r5_p3,GSM7780153,160,5,5.0,11.0,81,0.8874434
GSM7780153_r5_p41,GSM7780153,160,5,11.0,9.0,81,0.8873554
GSM7780153_r5_p66,GSM7780153,160,5,15.0,7.0,81,0.8870137
GSM7780153_r5_p16,GSM7780153,160,5,7.0,11.0,81,0.88684636
GSM7780153_r5_p80,GSM7780153,160,5,17.0,9.0,81,0.8834219
GSM7780153_r5_p18,GSM7780153,160,5,7.0,15.0,81,0.88114333
GSM7780153_r5_p17,GSM7780153,160,5,7.0,13.0,81,0.8811365
GSM7780153_r5_p106,GSM7780153,160,5,21.0,9.0,81,0.87522954
GSM7780153_r5_p21,GSM7780153,160,5,7.0,21.0,81,0.872192
GSM7780153_r5_p105,GSM7780153,160,5,21.0,7.0,81,0.86663204
GSM7780153_r5_p19,GSM7780153,160,5,7.0,17.0,81,0.8664846
GSM7780153_r5_p81,GSM7780153,160,5,17.0,11.0,81,0.86320055
GSM7780153_r5_p4,GSM7780153,160,5,5.0,13.0,81,0.86308634
GSM7780153_r5_p30,GSM7780153,160,5,9.0,13.0,81,0.8630437
GSM7780153_r5_p22,GSM7780153,160,5,7.0,23.0,81,0.8629428
GSM7780154_r5_p26,GSM7780154,160,5,9.0,5.0,81,0.8610654
