patch_id,sample_id,resolution_um,radius,center_x,center_y,n_bins,similarity
GSM7780153_r8_p0,GSM7780153,160,8,8.0,8.0,197,0.97063804
GSM7780153_r8_p5,GSM7780153,160,8,12.0,8.0,197,0.9669337
GSM7780153_r8_p10,GSM7780153,160,8,16.0,8.0,195,0.958562
GSM7780153_r8_p1,GSM7780153,160,8,8.0,12.0,197,0.9532556
GSM7780153_r8_p6,GSM7780153,160,8,12.0,12.0,197,0.92752665
GSM7780153_r8_p2,GSM7780153,160,8,8.0,16.0,197,0.9097318
GSM7780154_r8_p1,GSM7780154,160,8,8.0,12.0,197,0.9089262
GSM7780153_r8_p11,GSM7780153,160,8,16.0,12.0,197,0.8929146
GSM7780154_r8_p0,GSM7780154,160,8,8.0,8.0,197,0.8860795
GSM7780154_r8_p2,GSM7780154,160,8,8.0,16.0,197,0.8618655
GSM7780153_r8_p16,GSM7780153,160,8,20.0,12.0,197,0.8404427
GSM7780153_r8_p3,GSM7780153,160,8,8.0,20.0,197,0.83999604
GSM7780153_r8_p15,GSM7780153,160,8,20.0,8.0,193,0.8006938
GSM7780153_r8_p4,GSM7780153,160,8,8.0,24.0,197,0.78089416
GSM7780154_r8_p3,GSM7780154,160,8,8.0,20.0,197,0.64972717
GSM7780154_r8_p35,GSM7780154,160,8,36.0,8.0,197,0.6472125
GSM7780153_r8_p20,GSM7780153,160,8,24.0,8.0,195,0.64059186
GSM7780153_r8_p38,GSM7780153,160,8,36.0,20.0,197,0.6345736
GSM7780153_r8_p33,GSM7780153,160,8,32.0,20.0,197,0.5763952
GSM7780153_r8_p39,GSM7780153,160,8,36.0,24.0,196,0.55705214
GSM7780153_r8_p37,GSM7780153,160,8,36.0,16.0,197,0.55500835
GSM7780153_r8_p7,GSM7780153,160,8,12.0,16.0,197,0.5020586
GSM7780154_r8_p5,GSM7780154,160,8,12.0,8.0,197,0.45726368
GSM7780154_r8_p6,GSM7780154,160,8,12.0,12.0,197,0.45107555
GSM7780154_r8_p36,GSM7780154,160,8,36.0,12.0,197,0.3980891
GSM7780154_r8_p30,GSM7780154,160,8,32.0,8.0,197,0.3700551
GSM7780153_r8_p30,GSM7780153,160,8,32.0,8.0,197,0.3367938
GSM7780154_r8_p7,GSM7780154,160,8,12.0,16.0,197,0.30053616
GSM7780153_r8_p34,GSM7780153,160,8,32.0,24.0,197,0.25197786
GSM7780153_r8_p12,GSM7780153,160,8,16.0,16.0,197,0.2419287
GSM7780153_r8_p21,GSM7780153,160,8,24.0,12.0,197,0.21450488
GSM7780153_r8_p8,GSM7780153,160,8,12.0,20.0,197,0.16572224
GSM7780153_r8_p35,GSM7780153,160,8,36.0,8.0,197,0.12405123
GSM7780153_r8_p17,GSM7780153,160,8,20.0,16.0,197,0.0436572
GSM7780154_r8_p31,GSM7780154,160,8,32.0,12.0,197,0.03143067
GSM7780153_r8_p32,GSM7780153,160,8,32.0,16.0,197,-0.017860916
GSM7780153_r8_p28,GSM7780153,160,8,28.0,20.0,197,-0.0630231
GSM7780154_r8_p10,GSM7780154,160,8,16.0,8.0,197,-0.06969593
GSM7780153_r8_p25,GSM7780153,160,8,28.0,8.0,196,-0.114776455
GSM7780153_r8_p13,GSM7780153,160,8,16.0,20.0,197,-0.15046726
GSM7780153_r8_p9,GSM7780153,160,8,12.0,24.0,197,-0.15621996
GSM7780154_r8_p8,GSM7780154,160,8,12.0,20.0,196,-0.16034868
GSM7780154_r8_p25,GSM7780154,160,8,28.0,8.0,197,-0.18181723
GSM7780153_r8_p29,GSM7780153,160,8,28.0,24.0,197,-0.21950124
GSM7780154_r8_p26,GSM7780154,160,8,28.0,12.0,197,-0.22561143
GSM7780153_r8_p23,GSM7780153,160,8,24.0,20.0,197,-0.28378153
GSM7780154_r8_p15,GSM7780154,160,8,20.0,8.0,197,-0.2879812
GSM7780153_r8_p22,GSM7780153,160,8,24.0,16.0,197,-0.29127267
GSM7780153_r8_p18,GSM7780153,160,8,20.0,20.0,197,-0.31494156
GSM7780153_r8_p36,GSM7780153,160,8,36.0,12.0,197,-0.32704324
GSM7780153_r8_p24,GSM7780153,160,8,24.0,24.0,197,-0.33003837
GSM7780154_r8_p20,GSM7780154,160,8,24.0,8.0,197,-0.3352257
GSM7780154_r8_p37,GSM7780154,160,8,36.0,16.0,197,-0.43225056
GSM7780154_r8_p4,GSM7780154,160,8,8.0,24.0,196,-0.45842096
