patch_id,sample_id,resolution_um,radius,center_x,center_y,n_bins,similarity
GSM7780153_r8_p0,GSM7780153,160,8,8.0,8.0,197,0.9633755
GSM7780153_r8_p5,GSM7780153,160,8,12.0,8.0,197,0.95458734
GSM7780153_r8_p1,GSM7780153,160,8,8.0,12.0,197,0.9442676
GSM7780153_r8_p10,GSM7780153,160,8,16.0,8.0,195,0.93671256
GSM7780153_r8_p6,GSM7780153,160,8,12.0,12.0,197,0.9337221
GSM7780154_r8_p1,GSM7780154,160,8,8.0,12.0,197,0.90825945
GSM7780153_r8_p2,GSM7780153,160,8,8.0,16.0,197,0.9073565
GSM7780153_r8_p11,GSM7780153,160,8,16.0,12.0,197,0.8908146
GSM7780154_r8_p0,GSM7780154,160,8,8.0,8.0,197,0.88346046
GSM7780154_r8_p2,GSM7780154,160,8,8.0,16.0,197,0.8560748
GSM7780153_r8_p16,GSM7780153,160,8,20.0,12.0,197,0.8483156
GSM7780153_r8_p3,GSM7780153,160,8,8.0,20.0,197,0.8346109
GSM7780153_r8_p15,GSM7780153,160,8,20.0,8.0,193,0.7832629
GSM7780153_r8_p4,GSM7780153,160,8,8.0,24.0,197,0.7825465
GSM7780154_r8_p35,GSM7780154,160,8,36.0,8.0,197,0.6524887
GSM7780153_r8_p38,GSM7780153,160,8,36.0,20.0,197,0.6426305
GSM7780154_r8_p3,GSM7780154,160,8,8.0,20.0,197,0.62955576
GSM7780153_r8_p20,GSM7780153,160,8,24.0,8.0,195,0.6160837
GSM7780153_r8_p37,GSM7780153,160,8,36.0,16.0,197,0.5789983
GSM7780153_r8_p33,GSM7780153,160,8,32.0,20.0,197,0.5770326
GSM7780153_r8_p39,GSM7780153,160,8,36.0,24.0,196,0.55595005
GSM7780153_r8_p7,GSM7780153,160,8,12.0,16.0,197,0.5121179
GSM7780154_r8_p6,GSM7780154,160,8,12.0,12.0,197,0.47709998
GSM7780154_r8_p5,GSM7780154,160,8,12.0,8.0,197,0.45438555
GSM7780154_r8_p36,GSM7780154,160,8,36.0,12.0,197,0.39227688
GSM7780154_r8_p30,GSM7780154,160,8,32.0,8.0,197,0.3716298
GSM7780153_r8_p30,GSM7780153,160,8,32.0,8.0,197,0.3537661
GSM7780154_r8_p7,GSM7780154,160,8,12.0,16.0,197,0.32040107
GSM7780153_r8_p12,GSM7780153,160,8,16.0,16.0,197,0.26890022
GSM7780153_r8_p34,GSM7780153,160,8,32.0,24.0,197,0.26055735
GSM7780153_r8_p21,GSM7780153,160,8,24.0,12.0,197,0.20856911
GSM7780153_r8_p8,GSM7780153,160,8,12.0,20.0,197,0.17097491
GSM7780153_r8_p35,GSM7780153,160,8,36.0,8.0,197,0.11395584
GSM7780153_r8_p17,GSM7780153,160,8,20.0,16.0,197,0.0744662
