patch_id,sample_id,resolution_um,radius,center_x,center_y,n_bins,similarity
GSM7780153_r8_p10,GSM7780153,160,8,16.0,8.0,195,0.9423952
GSM7780154_r8_p2,GSM7780154,160,8,8.0,16.0,197,0.9362244
GSM7780153_r8_p1,GSM7780153,160,8,8.0,12.0,197,0.9234958
GSM7780154_r8_p0,GSM7780154,160,8,8.0,8.0,197,0.9208428
GSM7780153_r8_p5,GSM7780153,160,8,12.0,8.0,197,0.9152069
GSM7780153_r8_p6,GSM7780153,160,8,12.0,12.0,197,0.91203123
GSM7780153_r8_p0,GSM7780153,160,8,8.0,8.0,197,0.9048587
GSM7780153_r8_p3,GSM7780153,160,8,8.0,20.0,197,0.89089215
GSM7780153_r8_p2,GSM7780153,160,8,8.0,16.0,197,0.8897531
GSM7780154_r8_p1,GSM7780154,160,8,8.0,12.0,197,0.88441324
GSM7780153_r8_p15,GSM7780153,160,8,20.0,8.0,193,0.8785354
GSM7780153_r8_p16,GSM7780153,160,8,20.0,12.0,197,0.8772318
GSM7780153_r8_p11,GSM7780153,160,8,16.0,12.0,197,0.82067645
GSM7780154_r8_p35,GSM7780154,160,8,36.0,8.0,197,0.7352841
GSM7780154_r8_p3,GSM7780154,160,8,8.0,20.0,197,0.7313724
GSM7780153_r8_p38,GSM7780153,160,8,36.0,20.0,197,0.6968838
GSM7780153_r8_p4,GSM7780153,160,8,8.0,24.0,197,0.66328996
GSM7780153_r8_p33,GSM7780153,160,8,32.0,20.0,197,0.64707816
GSM7780153_r8_p39,GSM7780153,160,8,36.0,24.0,196,0.5381574
GSM7780153_r8_p20,GSM7780153,160,8,24.0,8.0,195,0.50359595
GSM7780153_r8_p37,GSM7780153,160,8,36.0,16.0,197,0.49154085
GSM7780154_r8_p5,GSM7780154,160,8,12.0,8.0,197,0.4772536
GSM7780153_r8_p7,GSM7780153,160,8,12.0,16.0,197,0.46620008
GSM7780153_r8_p30,GSM7780153,160,8,32.0,8.0,197,0.4656957
GSM7780154_r8_p36,GSM7780154,160,8,36.0,12.0,197,0.40539607
GSM7780154_r8_p6,GSM7780154,160,8,12.0,12.0,197,0.37096518
GSM7780154_r8_p30,GSM7780154,160,8,32.0,8.0,197,0.34330174
GSM7780153_r8_p34,GSM7780153,160,8,32.0,24.0,197,0.2515187
GSM7780154_r8_p7,GSM7780154,160,8,12.0,16.0,197,0.23989339
GSM7780153_r8_p12,GSM7780153,160,8,16.0,16.0,197,0.23981503
GSM7780153_r8_p8,GSM7780153,160,8,12.0,20.0,197,0.20832619
GSM7780153_r8_p35,GSM7780153,160,8,36.0,8.0,197,0.054299362
GSM7780153_r8_p17,GSM7780153,160,8,20.0,16.0,197,0.039465323
GSM7780153_r8_p21,GSM7780153,160,8,24.0,12.0,197,0.030697383
GSM7780154_r8_p10,GSM7780154,160,8,16.0,8.0,197,0.024598852
GSM7780154_r8_p31,GSM7780154,160,8,32.0,12.0,197,0.01033444
GSM7780153_r8_p28,GSM7780153,160,8,28.0,20.0,197,-0.042513095
GSM7780153_r8_p13,GSM7780153,160,8,16.0,20.0,197,-0.042626996
GSM7780154_r8_p26,GSM7780154,160,8,28.0,12.0,197,-0.088913515
GSM7780153_r8_p32,GSM7780153,160,8,32.0,16.0,197,-0.11480487
GSM7780154_r8_p25,GSM7780154,160,8,28.0,8.0,197,-0.11698819
GSM7780153_r8_p29,GSM7780153,160,8,28.0,24.0,197,-0.13763028
GSM7780154_r8_p8,GSM7780154,160,8,12.0,20.0,196,-0.17941758
GSM7780154_r8_p15,GSM7780154,160,8,20.0,8.0,197,-0.18086669
GSM7780153_r8_p23,GSM7780153,160,8,24.0,20.0,197,-0.18237238
GSM7780153_r8_p24,GSM7780153,160,8,24.0,24.0,197,-0.18959749
GSM7780153_r8_p18,GSM7780153,160,8,20.0,20.0,197,-0.22507644
GSM7780154_r8_p20,GSM7780154,160,8,24.0,8.0,197,-0.23109028
GSM7780153_r8_p22,GSM7780153,160,8,24.0,16.0,197,-0.23200136
GSM7780153_r8_p9,GSM7780153,160,8,12.0,24.0,197,-0.26150382
GSM7780153_r8_p25,GSM7780153,160,8,28.0,8.0,196,-0.3552606
GSM7780153_r8_p27,GSM7780153,160,8,28.0,16.0,197,-0.4336603
GSM7780154_r8_p21,GSM7780154,160,8,24.0,12.0,197,-0.43402284
GSM7780154_r8_p11,GSM7780154,160,8,16.0,12.0,197,-0.4571185
GSM7780154_r8_p37,GSM7780154,160,8,36.0,16.0,197,-0.4822596
GSM7780153_r8_p36,GSM7780153,160,8,36.0,12.0,197,-0.4980129
GSM7780153_r8_p19,GSM7780153,160,8,20.0,24.0,197,-0.538819
GSM7780155_r8_p19,GSM7780155,160,8,20.0,24.0,176,-0.5476463
GSM7780155_r8_p18,GSM7780155,160,8,20.0,20.0,189,-0.54862684
GSM7780153_r8_p14,GSM7780153,160,8,16.0,24.0,197,-0.5601909
GSM7780154_r8_p4,GSM7780154,160,8,8.0,24.0,196,-0.5672069
GSM7780155_r8_p4,GSM7780155,160,8,8.0,24.0,104,-0.58117586
GSM7780154_r8_p16,GSM7780154,160,8,20.0,12.0,197,-0.5824093
GSM7780155_r8_p6,GSM7780155,160,8,12.0,12.0,176,-0.5838463
GSM7780153_r8_p26,GSM7780153,160,8,28.0,12.0,197,-0.59469765
GSM7780153_r8_p31,GSM7780153,160,8,32.0,12.0,197,-0.59637123
GSM7780155_r8_p11,GSM7780155,160,8,16.0,12.0,191,-0.602368
GSM7780155_r8_p3,GSM7780155,160,8,8.0,20.0,122,-0.63204557
GSM7780155_r8_p37,GSM7780155,160,8,36.0,16.0,116,-0.63255554
GSM7780155_r8_p9,GSM7780155,160,8,12.0,24.0,147,-0.6374145
GSM7780155_r8_p14,GSM7780155,160,8,16.0,24.0,172,-0.6597933
GSM7780155_r8_p12,GSM7780155,160,8,16.0,16.0,196,-0.66107845
GSM7780155_r8_p5,GSM7780155,160,8,12.0,8.0,173,-0.6687378
GSM7780155_r8_p23,GSM7780155,160,8,24.0,20.0,191,-0.67202026
GSM7780155_r8_p1,GSM7780155,160,8,8.0,12.0,141,-0.6725739
GSM7780155_r8_p24,GSM7780155,160,8,24.0,24.0,182,-0.6762856
GSM7780154_r8_p13,GSM7780154,160,8,16.0,20.0,196,-0.68315774
GSM7780155_r8_p13,GSM7780155,160,8,16.0,20.0,192,-0.6833733
GSM7780155_r8_p16,GSM7780155,160,8,20.0,12.0,186,-0.69477516
GSM7780155_r8_p10,GSM7780155,160,8,16.0,8.0,184,-0.6959076
GSM7780155_r8_p36,GSM7780155,160,8,36.0,12.0,111,-0.70051295
GSM7780155_r8_p8,GSM7780155,160,8,12.0,20.0,173,-0.70082057
GSM7780155_r8_p17,GSM7780155,160,8,20.0,16.0,191,-0.7042638
GSM7780155_r8_p28,GSM7780155,160,8,28.0,20.0,176,-0.70710886
GSM7780155_r8_p7,GSM7780155,160,8,12.0,16.0,177,-0.71075135
GSM7780155_r8_p35,GSM7780155,160,8,36.0,8.0,97,-0.7151303
GSM7780155_r8_p2,GSM7780155,160,8,8.0,16.0,130,-0.7202748
GSM7780155_r8_p0,GSM7780155,160,8,8.0,8.0,149,-0.7294573
GSM7780155_r8_p27,GSM7780155,160,8,28.0,16.0,170,-0.7328117
GSM7780155_r8_p33,GSM7780155,160,8,32.0,20.0,156,-0.73488915
GSM7780155_r8_p32,GSM7780155,160,8,32.0,16.0,151,-0.736605
GSM7780155_r8_p29,GSM7780155,160,8,28.0,24.0,180,-0.7391692
GSM7780154_r8_p22,GSM7780154,160,8,24.0,16.0,197,-0.74881715
GSM7780155_r8_p38,GSM7780155,160,8,36.0,20.0,138,-0.75359446
GSM7780154_r8_p32,GSM7780154,160,8,32.0,16.0,197,-0.7541954
GSM7780155_r8_p30,GSM7780155,160,8,32.0,8.0,130,-0.7664344
GSM7780154_r8_p33,GSM7780154,160,8,32.0,20.0,196,-0.7664729
GSM7780154_r8_p14,GSM7780154,160,8,16.0,24.0,193,-0.7673769
GSM7780155_r8_p25,GSM7780155,160,8,28.0,8.0,152,-0.76901996
GSM7780154_r8_p29,GSM7780154,160,8,28.0,24.0,184,-0.76951057
